aX,aY,aZ,gX,gY,gZ
1.079,-2.077,1.225,-175.293,36.255,314.270
1.125,-2.281,1.349,-164.917,23.682,307.922
1.099,-2.412,1.328,-153.076,17.090,298.645
1.015,-2.479,1.204,-138.733,11.047,284.668
0.937,-2.478,1.046,-122.192,0.549,266.479
0.861,-2.455,0.890,-103.943,-14.404,247.559
0.855,-2.388,0.751,-87.280,-29.785,228.821
0.860,-2.364,0.676,-74.280,-40.588,207.214
0.847,-2.323,0.618,-65.186,-42.480,183.533
0.773,-2.332,0.592,-58.533,-35.278,159.485
0.714,-2.270,0.519,-52.795,-20.935,134.827
0.591,-2.279,0.531,-45.532,-6.287,110.474
0.545,-2.181,0.459,-37.170,7.263,87.219
0.512,-2.042,0.515,-24.414,12.451,66.895
0.428,-1.746,0.605,-12.878,17.883,47.546
0.396,-1.529,0.629,-6.958,29.724,30.151
0.320,-1.147,0.687,-8.545,37.231,22.644
0.312,-1.023,0.571,-8.423,37.964,18.005
0.309,-0.991,0.601,-11.902,28.625,20.874
0.370,-0.963,0.550,-20.447,15.259,34.180
0.446,-1.013,0.599,-27.344,-0.488,49.194
0.485,-1.102,0.512,-35.461,-8.789,58.716
0.521,-1.181,0.395,-41.992,-14.465,61.035
0.584,-1.271,0.371,-40.771,-23.254,57.007
0.636,-1.322,0.387,-34.912,-26.672,48.218
0.643,-1.346,0.381,-27.649,-21.973,36.865
0.627,-1.297,0.383,-20.569,-13.062,23.560
0.595,-1.213,0.404,-13.428,-3.540,10.498
0.556,-1.086,0.444,-8.362,5.188,-0.183
0.520,-0.960,0.486,-5.493,11.475,-6.470
0.486,-0.868,0.518,-4.944,13.977,-9.338
0.447,-0.800,0.535,-7.019,13.733,-10.132
0.417,-0.732,0.532,-10.010,10.254,-9.888
0.437,-0.725,0.536,-12.878,4.822,-9.338
0.391,-0.766,0.552,-15.442,-1.587,-8.057
0.416,-0.802,0.504,-17.273,-5.676,-6.104
0.425,-0.808,0.478,-16.418,-9.094,-2.747
0.422,-0.863,0.483,-11.414,-13.245,-4.028
0.443,-0.820,0.448,-8.301,-12.939,-4.944
0.457,-0.794,0.447,-4.395,-11.353,-5.676
0.466,-0.768,0.476,-1.831,-8.911,-5.066
0.458,-0.730,0.459,-1.892,-3.967,-3.540
0.447,-0.720,0.463,-2.563,0.610,-2.625
0.445,-0.719,0.482,-3.662,3.479,-2.014
0.440,-0.713,0.479,-4.517,5.371,-1.099
0.437,-0.733,0.471,-4.150,5.249,0.366
0.436,-0.751,0.467,-2.991,2.747,1.831
0.445,-0.777,0.467,-1.587,-0.183,2.563
0.453,-0.801,0.467,0.000,-2.502,2.502
0.456,-0.808,0.455,1.343,-3.052,1.587
0.456,-0.789,0.443,2.014,-3.113,-0.488
0.465,-0.772,0.449,2.808,-2.319,-2.808
0.474,-0.739,0.453,2.686,-0.427,-4.150
0.482,-0.722,0.462,2.075,2.380,-4.700
0.475,-0.724,0.475,1.343,5.188,-3.601
0.463,-0.734,0.480,0.366,7.629,-1.587
0.453,-0.746,0.492,0.305,9.033,-0.610
0.438,-0.752,0.500,0.732,9.705,0.000
0.433,-0.751,0.509,1.343,9.338,0.122
0.434,-0.751,0.530,1.770,7.751,0.366
0.431,-0.743,0.533,1.465,6.287,0.732
0.438,-0.750,0.527,0.916,4.456,0.549
0.434,-0.756,0.523,0.671,1.526,0.366
0.439,-0.754,0.502,0.305,-1.709,0.061
0.455,-0.760,0.504,0.061,-4.395,-0.671
0.466,-0.767,0.505,-0.610,-4.944,-1.404
0.470,-0.766,0.488,-1.587,-3.113,-2.258
0.475,-0.778,0.489,-1.526,-1.038,-2.808
0.472,-0.783,0.500,-0.854,0.671,-2.686
0.465,-0.780,0.502,0.427,2.747,-1.892
0.452,-0.773,0.517,1.953,4.272,-1.831
0.447,-0.753,0.529,2.869,5.432,-2.258
0.449,-0.745,0.541,2.869,6.042,-2.319
0.432,-0.745,0.553,2.747,5.310,-1.282
0.423,-0.750,0.542,2.869,4.211,-0.305
0.422,-0.759,0.534,3.662,2.075,-0.366
0.433,-0.760,0.528,4.822,-0.671,-0.061
0.437,-0.756,0.514,5.554,-2.930,-0.305
0.442,-0.742,0.502,5.371,-4.333,-0.854
0.449,-0.740,0.500,4.272,-4.822,-1.709
0.450,-0.741,0.503,2.075,-5.127,-2.502
0.455,-0.747,0.496,0.061,-4.456,-2.869
0.456,-0.764,0.501,-0.916,-3.662,-2.991
0.452,-0.768,0.490,-0.793,-2.747,-2.502
0.454,-0.769,0.482,0.793,-2.686,-1.587
