aX,aY,aZ,gX,gY,gZ
0.921,-2.127,-1.036,143.982,-15.259,357.361
1.049,-2.295,-1.071,143.250,-19.043,355.225
1.108,-2.469,-1.047,135.559,-18.433,352.722
1.088,-2.567,-0.947,118.835,-9.216,346.741
1.045,-2.607,-0.803,98.328,10.193,337.158
1.006,-2.647,-0.662,79.651,38.147,325.134
0.948,-2.781,-0.573,61.951,69.031,311.890
0.798,-2.907,-0.356,46.875,91.370,297.363
0.678,-3.068,-0.096,35.461,107.178,278.442
0.696,-3.243,0.101,31.250,118.103,252.869
0.628,-3.426,-0.095,15.625,130.127,206.970
0.620,-3.093,0.139,-4.150,95.215,153.748
0.591,-2.650,0.149,-12.878,44.128,80.139
0.587,-2.214,-0.014,-23.071,-5.676,3.113
0.571,-1.743,-0.169,-27.161,-48.462,-48.035
0.499,-1.359,-0.344,-17.334,-77.454,-70.129
0.457,-1.099,-0.535,-0.671,-90.271,-68.787
0.404,-0.978,-0.629,18.066,-89.783,-48.889
0.335,-1.027,-0.668,35.339,-77.942,-21.301
0.267,-1.105,-0.603,45.837,-57.678,7.385
0.227,-1.202,-0.498,47.546,-33.264,29.602
0.228,-1.339,-0.398,44.556,-7.507,37.781
0.264,-1.455,-0.331,38.574,15.869,33.752
0.313,-1.493,-0.251,30.029,33.386,21.851
0.365,-1.473,-0.229,21.973,41.199,5.371
0.430,-1.396,-0.258,13.245,40.039,-11.597
0.462,-1.277,-0.299,5.432,29.602,-25.146
0.467,-1.144,-0.344,0.366,13.611,-32.104
0.443,-1.031,-0.374,-2.197,-3.479,-32.471
0.416,-0.971,-0.405,-4.150,-17.029,-27.527
0.383,-0.943,-0.416,-6.348,-25.513,-19.470
0.347,-0.949,-0.422,-8.850,-28.198,-10.254
0.309,-0.952,-0.421,-11.475,-25.452,-1.953
0.277,-0.945,-0.409,-13.855,-18.982,4.150
0.270,-0.954,-0.397,-15.442,-9.949,5.920
0.276,-0.954,-0.384,-15.747,-0.854,3.784
0.295,-0.935,-0.360,-15.015,6.958,-0.977
0.327,-0.917,-0.341,-12.573,12.390,-6.958
0.360,-0.904,-0.335,-8.484,15.564,-12.634
0.395,-0.896,-0.326,-3.723,16.296,-16.357
0.406,-0.886,-0.312,1.221,14.771,-17.883
0.406,-0.872,-0.303,5.615,11.597,-17.883
0.403,-0.878,-0.294,8.667,7.080,-18.005
0.395,-0.895,-0.292,10.071,2.197,-16.724
0.389,-0.915,-0.300,9.705,-1.770,-14.099
0.361,-0.923,-0.295,7.263,-5.127,-11.597
0.337,-0.935,-0.297,3.479,-8.118,-10.132
0.330,-0.941,-0.307,0.000,-9.766,-9.155
