aX,aY,aZ,gX,gY,gZ
-0.809,0.432,2.711,-23.071,-14.832,18.860
-0.795,0.408,2.801,8.301,-15.808,29.541
-0.751,0.437,2.936,26.245,-29.053,39.673
-0.677,0.362,2.920,48.706,-41.443,44.006
-0.589,0.280,2.990,64.148,-64.575,46.692
-0.699,0.195,3.109,69.214,-93.140,44.739
-0.548,0.179,3.053,75.378,-104.614,46.082
-0.504,0.160,3.222,79.956,-119.019,49.622
-0.349,0.102,3.240,80.566,-122.437,49.805
-0.197,0.068,3.227,82.642,-112.183,48.706
-0.054,0.081,3.225,79.834,-96.252,46.509
0.227,0.126,3.206,68.420,-88.806,43.335
0.424,0.181,3.245,48.218,-119.568,39.795
0.632,0.226,3.159,34.729,-131.836,38.940
0.838,0.282,3.140,25.208,-138.000,41.016
1.164,0.310,2.949,21.667,-132.812,49.622
1.439,0.335,2.690,23.560,-122.192,62.378
1.686,0.375,2.437,26.672,-112.610,74.951
1.830,0.432,2.188,30.090,-100.220,84.106
1.941,0.499,2.005,34.790,-84.229,89.417
2.158,0.448,1.800,40.527,-61.829,92.285
2.092,0.509,1.429,42.053,-43.030,90.332
2.094,0.498,1.238,50.659,-32.227,82.703
2.133,0.565,0.826,55.359,-20.752,72.327
1.998,0.561,0.494,49.988,-20.691,49.316
1.905,0.637,0.217,33.386,-30.518,24.841
1.792,0.737,-0.013,13.062,-41.504,-0.061
1.630,0.843,-0.103,-3.906,-56.213,-20.325
1.554,1.011,-0.247,-7.935,-69.702,-25.940
1.403,1.101,-0.353,4.517,-82.703,-20.081
1.226,1.052,-0.356,28.137,-88.562,-6.042
1.102,0.830,-0.512,53.711,-78.857,18.127
1.091,0.556,-0.622,65.674,-67.505,45.837
1.077,0.253,-0.712,59.631,-66.833,69.580
0.928,-0.001,-0.572,35.400,-77.148,82.275
0.814,-0.077,-0.359,0.671,-84.839,83.618
0.744,-0.020,-0.132,-26.367,-82.581,73.364
0.647,0.029,0.031,-29.419,-76.721,53.467
0.631,0.102,0.024,-9.521,-64.514,37.170
0.619,0.201,-0.061,23.560,-50.598,25.513
0.516,0.210,-0.173,62.256,-43.030,14.343
0.500,0.144,-0.233,92.041,-35.583,9.216
0.477,0.049,-0.353,101.501,-32.166,8.667
0.380,-0.075,-0.412,87.646,-37.842,6.775
0.337,-0.103,-0.391,57.678,-52.490,6.409
0.231,-0.112,-0.329,30.151,-69.519,3.235
0.085,-0.135,-0.231,14.343,-85.999,-5.249
-0.052,-0.116,-0.096,9.338,-97.534,-12.146
-0.142,-0.087,-0.035,14.587,-101.990,-19.226
-0.218,-0.046,-0.025,23.926,-102.112,-26.855
-0.215,0.021,-0.071,31.677,-94.238,-33.264
-0.246,0.089,-0.140,33.386,-86.426,-37.170
-0.353,0.116,-0.128,29.175,-86.914,-35.278
-0.390,0.135,-0.044,21.484,-88.196,-24.658
-0.385,0.122,0.055,12.512,-88.379,-10.254
-0.310,0.091,0.090,5.981,-86.060,1.526
-0.334,0.044,0.183,1.282,-82.336,5.432
-0.384,0.014,0.293,0.122,-73.303,3.235
-0.390,0.030,0.316,5.737,-57.556,-1.831
-0.381,0.049,0.315,13.672,-42.786,-7.568
-0.416,0.078,0.309,18.433,-31.616,-11.353
-0.459,0.095,0.358,20.447,-19.653,-12.695
-0.501,0.113,0.417,19.714,-8.484,-9.888
-0.445,0.132,0.444,17.944,4.761,-3.296
-0.416,0.116,0.459,14.160,11.353,3.723
-0.423,0.085,0.499,8.728,11.963,10.132
-0.419,0.100,0.587,4.089,10.254,16.235
-0.371,0.056,0.624,2.991,9.766,20.386
-0.348,0.016,0.665,1.282,7.324,22.278
-0.310,0.004,0.743,-1.038,1.770,23.376
-0.298,-0.013,0.805,-3.357,-2.747,21.973
-0.304,-0.040,0.859,-4.456,-5.737,18.433
-0.309,-0.064,0.867,-3.540,-8.179,13.245
-0.311,-0.064,0.865,-1.587,-10.498,8.118
-0.305,-0.044,0.838,1.221,-10.620,4.150
-0.343,-0.042,0.820,4.700,-9.216,1.099
-0.371,-0.048,0.818,6.531,-6.714,0.916
-0.360,-0.047,0.800,5.798,-0.793,4.150
-0.338,-0.052,0.794,3.113,4.456,7.385
-0.328,-0.063,0.803,0.488,7.141,9.460
-0.319,-0.083,0.804,-1.831,7.751,10.925
-0.311,-0.075,0.796,-4.395,7.446,10.620
-0.309,-0.047,0.826,-7.263,5.249,8.606
-0.306,-0.052,0.842,-7.874,5.310,7.874
-0.320,-0.071,0.852,-7.935,5.493,7.202
-0.329,-0.081,0.895,-9.583,5.188,6.958
-0.323,-0.085,0.949,-10.864,5.615,7.385
-0.302,-0.099,0.992,-10.864,6.775,8.728
-0.295,-0.104,0.997,-9.460,7.935,10.193
-0.284,-0.111,0.987,-8.179,7.996,10.193
-0.279,-0.123,0.986,-7.202,8.606,10.254
-0.252,-0.129,0.939,-7.263,10.864,11.108
-0.251,-0.130,0.896,-8.606,10.376,10.254
-0.271,-0.119,0.901,-10.925,7.568,8.118
-0.305,-0.109,0.932,-12.268,5.493,6.897
-0.295,-0.095,0.938,-11.841,7.812,8.057
-0.292,-0.086,0.988,-10.132,8.057,9.216
-0.285,-0.098,1.003,-6.836,9.583,10.437
-0.275,-0.109,1.010,-5.005,10.010,11.719
-0.259,-0.120,1.008,-3.540,6.653,11.169
-0.239,-0.130,0.995,-3.052,4.944,9.155
-0.239,-0.124,0.983,-3.418,1.465,7.202
-0.237,-0.136,0.963,-3.784,-1.343,5.127
-0.232,-0.146,0.946,-5.127,-2.686,4.272
-0.214,-0.154,0.927,-6.714,-4.028,3.479
-0.209,-0.161,0.906,-8.118,-5.493,2.197
-0.217,-0.163,0.857,-9.033,-7.141,-0.793
-0.237,-0.150,0.829,-10.559,-10.620,-4.089
-0.282,-0.145,0.829,-12.878,-14.099,-6.226
-0.316,-0.121,0.838,-15.747,-15.442,-6.470
-0.326,-0.074,0.863,-17.761,-14.709,-5.493
-0.309,-0.042,0.869,-17.151,-12.451,-4.211
-0.279,-0.032,0.852,-14.587,-11.536,-3.235
-0.262,-0.028,0.841,-11.841,-12.085,-2.930
-0.246,-0.034,0.819,-9.644,-14.832,-3.418
-0.217,-0.044,0.763,-7.874,-18.311,-4.578
-0.192,-0.041,0.721,-7.629,-23.560,-6.775
-0.171,-0.043,0.644,-7.446,-29.114,-10.010
-0.211,-0.065,0.526,-5.432,-39.185,-14.771
1.387,0.227,2.109,79.834,-38.391,63.965
1.495,0.250,1.964,90.515,-52.612,57.495
1.547,0.279,1.740,95.520,-73.792,46.509
1.600,0.324,1.542,94.727,-92.041,34.790
1.592,0.398,1.365,93.628,-105.103,21.973
1.568,0.423,1.068,99.304,-111.938,11.536
1.527,0.479,0.788,109.558,-112.854,4.639
1.456,0.485,0.599,116.272,-107.971,0.427
1.343,0.392,0.383,112.244,-94.727,-0.854
1.187,0.412,0.310,95.703,-84.229,2.441
1.215,0.473,0.452,73.914,-80.017,8.118
1.287,0.585,0.484,56.580,-74.585,11.841
1.341,0.749,0.342,50.293,-79.346,12.756
1.288,0.748,0.226,61.279,-102.173,11.597
1.109,0.540,0.031,79.163,-132.202,13.123
0.914,0.381,-0.103,86.304,-155.151,20.874
0.793,0.243,-0.243,79.651,-159.973,28.625
0.665,0.156,-0.298,59.692,-152.283,30.945
0.552,0.160,-0.240,30.090,-135.925,31.860
0.575,0.238,-0.084,4.395,-113.586,34.851
0.677,0.358,0.111,-6.409,-94.421,39.490
0.675,0.357,0.115,1.526,-82.458,41.382
0.639,0.280,0.130,16.113,-77.759,38.269
0.573,0.209,0.120,26.367,-79.285,34.851
0.425,0.125,0.077,32.288,-81.177,29.236
0.305,0.071,0.127,36.621,-83.435,22.888
0.331,0.038,0.146,40.771,-82.458,18.921
0.242,-0.048,0.066,42.847,-82.153,13.428
0.168,-0.147,-0.005,39.612,-87.219,7.080
0.140,-0.147,0.020,28.992,-100.525,1.221
0.134,-0.102,0.017,18.127,-108.459,-6.287
0.076,-0.079,-0.043,14.465,-109.192,-16.174
0.010,-0.047,-0.084,13.611,-111.694,-25.635
-0.096,-0.039,-0.111,14.221,-113.281,-33.447
-0.197,-0.027,-0.169,16.174,-112.610,-38.818
-0.254,-0.021,-0.226,16.357,-107.849,-40.283
-0.351,-0.010,-0.254,13.000,-100.525,-36.194
-0.419,0.012,-0.243,8.789,-88.806,-28.564
-0.434,0.025,-0.196,5.493,-72.815,-19.958
-0.445,0.010,-0.158,2.502,-55.969,-10.925
-0.456,-0.015,-0.115,1.648,-40.222,-3.662
-0.435,-0.034,-0.076,0.488,-26.672,0.977
-0.409,-0.047,-0.040,-1.770,-18.799,3.601
-0.431,-0.049,-0.024,-2.319,-17.212,3.174
-0.443,-0.061,0.002,-1.099,-13.855,1.343
-0.451,-0.074,0.037,-2.014,-10.376,-0.977
-0.471,-0.088,0.109,-4.883,-8.423,-2.563
-0.499,-0.109,0.206,-7.263,-9.827,-2.808
-0.482,-0.112,0.296,-9.949,-13.062,-2.258
-0.445,-0.088,0.368,-13.245,-15.991,-2.075
-0.468,-0.082,0.422,-15.259,-19.836,-3.479
-0.491,-0.089,0.470,-13.428,-21.484,-4.395
-0.474,-0.096,0.455,-9.521,-16.785,-4.700
-0.481,-0.109,0.429,-6.775,-10.437,-5.432
-0.514,-0.120,0.451,-6.836,-5.432,-6.104
-0.522,-0.122,0.485,-8.972,2.136,-5.920
-0.501,-0.102,0.531,-12.634,9.888,-4.822
-0.500,-0.090,0.601,-16.113,14.709,-3.479
-0.478,-0.082,0.653,-18.616,17.761,-1.526
-0.453,-0.067,0.684,-20.691,18.555,-0.549
-0.470,-0.084,0.733,-23.254,16.724,-1.892
-0.478,-0.076,0.783,-25.269,15.198,-2.197
-0.460,-0.057,0.785,-25.146,13.733,-1.099
-0.468,-0.065,0.783,-23.621,11.963,-1.343
-0.456,-0.072,0.794,-23.865,11.780,-0.916
-0.441,-0.073,0.846,-25.085,10.315,1.282
