aX,aY,aZ,gX,gY,gZ
-0.013,-0.860,2.758,-28.076,66.345,30.518
0.116,-0.797,2.707,-53.528,75.623,11.841
0.311,-0.750,2.694,-75.256,65.063,-8.911
0.486,-0.682,2.790,-94.666,41.443,-28.931
0.642,-0.615,2.839,-113.464,26.367,-46.448
0.807,-0.527,2.817,-127.869,22.278,-57.739
1.023,-0.454,2.749,-133.606,19.714,-60.852
1.288,-0.432,2.643,-130.554,15.503,-57.983
1.474,-0.482,2.661,-115.723,-2.319,-51.453
1.704,-0.596,2.697,-93.018,-25.330,-44.312
1.929,-0.746,2.708,-73.792,-44.922,-41.260
2.196,-0.855,2.658,-67.444,-64.209,-45.166
2.545,-0.894,2.401,-75.317,-84.778,-52.368
2.834,-0.832,2.098,-92.102,-109.192,-55.603
3.061,-0.735,1.612,-112.000,-130.432,-54.626
3.130,-0.507,1.307,-130.859,-161.560,-48.035
3.335,-0.524,0.640,-146.790,-183.838,-34.912
3.027,-0.328,0.203,-141.541,-203.613,-0.244
2.586,-0.232,0.123,-118.103,-207.825,28.076
2.458,-0.342,-0.029,-99.854,-184.509,32.532
2.311,-0.497,-0.073,-83.801,-164.307,32.715
2.171,-0.632,-0.178,-68.298,-155.090,33.569
2.102,-0.761,-0.430,-60.547,-157.593,35.278
1.975,-0.753,-0.710,-56.152,-182.861,42.664
1.786,-0.661,-1.046,-48.157,-218.506,51.086
1.506,-0.502,-1.228,-34.180,-246.948,57.556
1.285,-0.412,-1.353,-15.991,-252.014,58.105
1.022,-0.343,-1.246,0.427,-236.267,52.673
0.839,-0.289,-1.142,9.644,-200.439,44.739
0.698,-0.245,-0.936,12.451,-159.180,38.513
0.575,-0.289,-0.696,7.385,-127.014,30.273
0.480,-0.320,-0.520,2.075,-101.563,21.362
0.399,-0.345,-0.377,1.831,-86.731,12.085
0.361,-0.362,-0.235,8.179,-86.487,3.479
0.363,-0.386,-0.196,13.550,-90.759,-3.540
0.331,-0.362,-0.170,7.080,-94.849,-9.155
0.401,-0.280,-0.249,-9.460,-95.459,-12.695
0.379,-0.172,-0.338,-26.611,-94.666,-12.207
0.258,-0.062,-0.400,-37.781,-92.712,-7.874
0.115,-0.005,-0.384,-38.208,-93.140,-4.761
0.071,-0.022,-0.348,-27.832,-96.924,-4.944
0.021,-0.059,-0.314,-15.747,-99.792,-10.376
-0.014,-0.088,-0.245,-7.019,-101.746,-17.456
-0.070,-0.094,-0.105,-4.822,-98.022,-23.621
-0.086,-0.079,-0.038,-12.451,-83.618,-24.902
-0.057,-0.046,-0.078,-23.560,-64.941,-17.456
-0.107,-0.039,-0.045,-28.076,-53.223,-5.554
-0.131,-0.071,-0.008,-26.062,-47.180,5.859
-0.187,-0.093,0.038,-20.142,-41.748,15.320
-0.257,-0.092,0.107,-11.963,-39.856,19.104
-0.274,-0.084,0.116,-6.470,-40.771,16.846
-0.282,-0.076,0.106,-2.869,-43.945,13.733
-0.307,-0.083,0.101,-1.160,-45.715,13.123
-0.322,-0.100,0.081,-3.174,-40.039,13.672
-0.386,-0.103,0.110,-4.883,-28.076,16.479
-0.421,-0.110,0.155,-4.333,-12.817,17.273
-0.419,-0.156,0.250,-0.183,-0.793,12.634
-0.394,-0.203,0.361,6.470,7.446,4.700
-0.352,-0.228,0.471,13.367,10.437,-3.235
-0.326,-0.248,0.599,16.724,9.521,-11.597
-0.268,-0.211,0.606,13.306,10.254,-18.494
-0.230,-0.146,0.642,8.118,10.437,-22.339
-0.208,-0.102,0.644,5.615,12.390,-23.499
-0.168,-0.056,0.650,6.348,14.648,-22.217
-0.164,-0.049,0.705,10.437,14.465,-19.165
-0.157,-0.063,0.769,14.343,14.221,-15.137
-0.159,-0.088,0.841,15.747,15.259,-11.475
-0.145,-0.098,0.870,13.489,16.846,-8.484
-0.148,-0.106,0.899,11.047,17.334,-5.920
-0.149,-0.115,0.913,9.583,16.479,-5.249
-0.150,-0.112,0.917,7.629,15.320,-6.042
-0.140,-0.119,0.922,5.737,14.465,-7.996
-0.117,-0.106,0.916,4.883,14.404,-10.254
-0.105,-0.075,0.927,6.775,14.099,-11.719
-0.094,-0.063,0.953,11.414,12.695,-12.756
-0.073,-0.067,0.964,15.625,11.108,-13.489
-0.072,-0.072,0.987,17.700,7.935,-13.000
-0.081,-0.073,1.025,17.761,5.310,-11.292
-0.073,-0.091,1.032,15.686,5.676,-9.460
-0.077,-0.096,1.044,12.146,7.507,-7.263
-0.091,-0.090,1.059,8.484,9.338,-5.615
-0.082,-0.088,1.061,5.737,11.414,-5.249
