aX,aY,aZ,gX,gY,gZ
0.175,0.946,-3.123,-95.947,1.343,45.593
0.158,1.060,-3.345,-122.986,-20.874,37.537
0.123,1.160,-3.410,-143.677,-58.411,22.888
0.119,1.237,-3.335,-158.630,-103.027,6.287
0.134,1.283,-3.155,-171.631,-146.057,-7.996
0.163,1.272,-2.949,-186.584,-180.237,-17.700
0.200,1.257,-2.730,-207.336,-203.491,-23.315
0.239,1.277,-2.504,-228.943,-220.276,-24.719
0.276,1.321,-2.274,-245.850,-233.337,-25.024
0.301,1.363,-2.038,-259.399,-246.582,-28.259
0.319,1.392,-1.801,-269.165,-261.902,-37.231
0.317,1.421,-1.549,-275.452,-279.175,-52.612
0.271,1.413,-1.286,-280.579,-297.485,-72.388
0.225,1.391,-1.005,-283.142,-312.866,-92.651
0.152,1.348,-0.760,-284.119,-324.341,-108.887
0.055,1.267,-0.559,-286.743,-334.595,-120.300
-0.026,1.171,-0.358,-288.330,-345.520,-129.333
-0.097,1.090,-0.149,-284.790,-355.530,-138.550
-0.184,1.022,0.047,-274.902,-362.915,-149.780
-0.275,0.949,0.237,-262.268,-367.798,-162.048
-0.378,0.875,0.396,-248.352,-368.958,-176.819
-0.498,0.773,0.519,-233.154,-368.347,-194.397
-0.620,0.591,0.612,-215.881,-370.178,-212.341
-0.769,0.402,0.682,-193.787,-376.465,-228.943
-0.909,0.209,0.805,-165.955,-385.132,-242.371
-1.008,0.022,0.931,-134.705,-390.198,-252.808
-1.125,-0.123,1.120,-105.103,-386.963,-258.179
-1.165,-0.270,1.252,-83.679,-372.620,-257.874
-1.152,-0.397,1.436,-73.181,-345.581,-248.657
-1.182,-0.586,1.549,-71.350,-301.025,-237.610
-1.197,-0.774,1.569,-77.271,-243.164,-220.581
-1.234,-0.898,1.538,-89.966,-185.181,-196.167
-1.288,-0.984,1.484,-103.638,-134.277,-167.786
-1.303,-1.016,1.424,-111.328,-96.191,-138.733
-1.266,-0.999,1.399,-107.849,-76.904,-112.000
-1.160,-0.915,1.389,-92.529,-75.256,-91.125
-1.037,-0.804,1.420,-67.871,-82.703,-79.529
-0.941,-0.726,1.445,-40.039,-91.370,-76.477
-0.842,-0.668,1.493,-16.296,-96.802,-79.285
-0.763,-0.699,1.531,0.427,-95.398,-83.313
-0.731,-0.731,1.570,10.498,-84.106,-82.581
-0.713,-0.770,1.591,15.503,-59.998,-74.707
-0.679,-0.805,1.542,13.245,-28.809,-61.096
-0.660,-0.801,1.484,7.446,3.540,-44.983
-0.643,-0.814,1.371,1.404,34.607,-31.250
-0.621,-0.819,1.228,-2.502,60.059,-20.203
-0.589,-0.803,1.103,-0.549,73.914,-12.939
-0.555,-0.791,0.989,7.141,75.806,-9.399
