aX,aY,aZ,gX,gY,gZ
1.031,-0.158,-2.822,62.866,-2.869,-45.044
1.042,-0.252,-2.991,94.604,-17.517,-41.565
1.006,-0.310,-3.097,127.197,-33.752,-32.410
0.937,-0.312,-3.119,158.813,-51.880,-21.179
0.834,-0.307,-3.075,190.552,-68.909,-12.146
0.738,-0.288,-3.002,221.436,-82.642,-6.348
0.613,-0.276,-2.899,250.671,-95.764,-4.456
0.480,-0.284,-2.770,280.212,-108.948,-6.531
0.381,-0.316,-2.604,310.608,-124.512,-11.963
0.279,-0.390,-2.386,337.463,-142.456,-20.386
0.190,-0.491,-2.133,359.802,-161.560,-28.259
0.121,-0.580,-1.876,376.770,-179.138,-34.058
0.034,-0.673,-1.624,389.709,-195.374,-37.109
-0.009,-0.733,-1.345,398.926,-210.999,-39.185
-0.026,-0.804,-1.023,402.039,-225.586,-40.161
-0.041,-0.834,-0.735,396.545,-236.633,-39.246
-0.063,-0.821,-0.477,384.644,-245.544,-37.598
-0.098,-0.789,-0.217,371.033,-253.723,-36.743
-0.098,-0.815,0.052,358.032,-257.935,-38.269
-0.082,-0.866,0.322,345.215,-258.850,-41.565
-0.047,-0.893,0.536,328.918,-254.883,-41.138
-0.008,-0.940,0.683,307.861,-243.591,-35.645
0.040,-0.944,0.762,286.011,-229.492,-26.306
0.051,-0.939,0.812,268.677,-214.661,-16.357
0.027,-0.890,0.854,255.920,-198.425,-7.751
-0.000,-0.839,0.934,246.887,-187.805,-4.333
-0.007,-0.827,1.053,238.098,-183.289,-7.629
0.007,-0.845,1.185,225.769,-181.763,-13.916
0.022,-0.859,1.317,210.754,-183.044,-17.090
0.041,-0.879,1.488,194.580,-183.167,-15.320
0.028,-0.871,1.632,177.368,-175.903,-10.986
0.016,-0.832,1.713,159.973,-161.255,-6.714
0.010,-0.781,1.716,143.494,-143.616,-3.967
0.005,-0.746,1.673,126.892,-128.418,-2.136
-0.015,-0.721,1.602,110.901,-116.882,0.549
-0.032,-0.648,1.535,96.252,-111.206,1.404
-0.082,-0.579,1.491,82.642,-108.215,0.244
-0.104,-0.542,1.439,69.458,-103.699,-3.174
-0.110,-0.530,1.385,56.213,-97.107,-9.644
-0.105,-0.529,1.321,45.776,-89.539,-16.846
-0.101,-0.503,1.267,39.429,-81.482,-22.095
-0.109,-0.484,1.236,36.011,-75.073,-26.245
-0.113,-0.451,1.227,34.119,-70.740,-31.006
-0.064,-0.419,1.259,33.386,-67.200,-35.217
-0.025,-0.421,1.300,31.372,-61.401,-37.170
0.012,-0.430,1.329,28.198,-52.063,-36.133
0.044,-0.403,1.349,26.855,-40.222,-32.776
0.098,-0.386,1.334,25.757,-25.146,-29.358
0.155,-0.364,1.299,23.437,-10.803,-26.733
0.203,-0.351,1.253,18.982,-0.183,-23.560
0.248,-0.335,1.204,12.451,6.714,-20.386
0.293,-0.304,1.166,5.371,9.094,-17.395
0.321,-0.298,1.124,-0.793,9.277,-14.771
0.358,-0.279,1.079,-6.226,9.827,-12.329
0.388,-0.260,1.039,-8.667,11.963,-9.033
0.418,-0.226,1.002,-9.033,16.418,-5.554
0.435,-0.190,0.969,-8.362,21.240,-2.014
0.438,-0.167,0.938,-8.484,25.513,1.160
0.447,-0.147,0.908,-8.118,28.992,3.662
0.452,-0.126,0.867,-7.690,32.166,6.165
0.447,-0.108,0.830,-6.653,34.180,7.935
0.442,-0.091,0.810,-4.639,34.180,9.033
0.447,-0.071,0.815,-2.441,32.837,9.216
0.453,-0.059,0.821,-1.648,32.043,8.362
0.458,-0.048,0.810,-2.563,31.738,7.263
0.472,-0.036,0.801,-2.930,30.334,6.104
0.492,-0.036,0.806,-2.686,28.687,4.700
0.507,-0.039,0.806,-2.808,28.381,3.784
0.520,-0.046,0.794,-2.869,28.625,3.601
0.539,-0.040,0.785,-2.380,28.442,3.418
0.554,-0.033,0.770,-1.343,27.771,2.625
0.582,-0.025,0.757,-0.671,26.428,1.343
0.603,-0.030,0.751,-0.488,24.109,0.000
0.627,-0.046,0.750,-0.916,21.484,-0.977
0.646,-0.066,0.743,-2.014,19.897,-1.221
0.704,-0.116,0.745,-2.197,20.264,0.305
0.733,-0.151,0.734,0.366,24.963,4.272
0.738,-0.131,0.705,4.028,30.945,11.292
0.699,-0.092,0.713,5.066,31.311,17.334
0.657,-0.057,0.726,4.761,28.625,18.799
0.633,-0.046,0.736,3.967,26.123,16.357
0.617,-0.046,0.750,2.197,23.010,13.855
0.613,-0.038,0.753,0.244,19.592,12.207
0.608,-0.033,0.766,-0.977,16.479,11.414
0.603,-0.023,0.773,-0.977,15.259,11.230
0.601,-0.014,0.776,-0.793,15.869,11.169
0.593,-0.009,0.772,-0.244,17.578,11.108
0.592,-0.010,0.765,0.610,20.325,11.536
0.577,-0.004,0.757,0.977,23.132,12.146
0.565,0.010,0.746,2.380,26.001,11.902
0.554,0.018,0.745,3.784,27.893,10.925
0.564,0.023,0.726,3.967,29.419,8.118
0.582,0.009,0.701,2.991,28.931,4.883
0.607,-0.009,0.695,2.258,25.574,2.319
0.634,-0.032,0.702,1.526,21.118,0.610
0.655,-0.056,0.709,-0.305,16.602,0.366
0.686,-0.071,0.728,-2.686,12.085,1.038
0.694,-0.072,0.738,-4.578,9.399,3.235
0.689,-0.058,0.737,-5.676,8.789,5.676
0.672,-0.034,0.741,-5.615,8.240,6.653
0.662,-0.019,0.744,-5.676,7.324,6.104
0.648,-0.005,0.742,-5.676,6.775,4.150
0.631,-0.010,0.729,-6.042,6.531,2.380
0.627,-0.007,0.726,-6.775,3.296,0.427
0.631,-0.018,0.726,-7.568,-0.488,-2.197
0.657,-0.041,0.740,-7.507,-2.991,-3.235
0.674,-0.058,0.764,-7.446,-4.211,-2.441
0.685,-0.066,0.771,-8.240,-3.113,-0.427
